song_name,artist,spotify_id,popularity,librosa_mfcc1_mean,librosa_mfcc1_std,librosa_mfcc2_mean,librosa_mfcc2_std,librosa_mfcc3_mean,librosa_mfcc3_std,librosa_mfcc4_mean,librosa_mfcc4_std,librosa_mfcc5_mean,librosa_mfcc5_std,librosa_mfcc6_mean,librosa_mfcc6_std,librosa_mfcc7_mean,librosa_mfcc7_std,librosa_mfcc8_mean,librosa_mfcc8_std,librosa_mfcc9_mean,librosa_mfcc9_std,librosa_mfcc10_mean,librosa_mfcc10_std,librosa_mfcc11_mean,librosa_mfcc11_std,librosa_mfcc12_mean,librosa_mfcc12_std,librosa_mfcc13_mean,librosa_mfcc13_std,librosa_mfcc14_mean,librosa_mfcc14_std,librosa_mfcc15_mean,librosa_mfcc15_std,librosa_mfcc16_mean,librosa_mfcc16_std,librosa_mfcc17_mean,librosa_mfcc17_std,librosa_mfcc18_mean,librosa_mfcc18_std,librosa_mfcc19_mean,librosa_mfcc19_std,librosa_mfcc20_mean,librosa_mfcc20_std,librosa_spectral_centroid_mean,librosa_spectral_rolloff_mean,librosa_zcr_mean,librosa_chroma_mean,librosa_tempo,librosa_rms_energy_mean
Carried Away (feat. Night Lovell),"$uicideboy$, Night Lovell",1IWDzlzjmhKZQp3dqXfv6W,74,-33.576805,55.60511,80.39096,33.31305,33.077225,31.856192,20.526356,16.509205,22.471302,13.727645,21.66629,10.257487,7.2078447,11.978102,12.891726,10.251026,1.6389312,7.8043337,15.918868,8.28425,1.93782,7.970481,5.915402,7.417132,5.4313774,6.265243,6.95548,6.442299,6.431033,6.950058,1.725129,6.3562546,-0.27688217,5.745985,7.3962336,6.1484585,2.5231895,5.737467,6.4344296,5.7047,2512.71094599028,5799.598263956076,0.04732435480359907,0.6513466,120.88671490201942,0.46404496
walk on water freestyle,Scrim,4RK3qXxRrKTdCpSxLm7B45,58,-61.84664,55.427986,87.12302,33.717556,26.62853,22.504087,20.6453,16.672806,10.949803,12.769805,11.302062,10.508109,3.0031817,10.523635,12.147069,10.368024,6.4291553,10.10401,10.281656,9.828352,2.47821,8.337683,5.1627874,7.993881,1.8523731,7.8205924,8.672319,6.9574394,2.7043312,7.917025,8.31055,6.8835874,3.375208,9.07337,7.354985,8.253079,1.5471253,7.3471684,2.3835485,5.7410345,2385.3177631662597,5563.799689797794,0.05847092383417183,0.5391115,142.57882613091527,0.34073433
One Last Breath,Creed,42T2QQv3xgBlpQxaSP7lnK,83,-151.33519,56.06946,130.85051,34.291344,-33.191692,17.117735,7.3175454,13.545555,-2.3910027,16.269552,11.189182,13.129727,-16.227848,11.3693905,0.39309126,11.126028,-11.020834,10.0649185,-2.543384,9.633501,-14.555228,9.889287,-5.043556,8.218581,-8.099246,8.273026,-5.578051,7.851273,-12.4767685,8.063474,-0.6075973,8.208197,-12.899198,9.0131855,-1.2292734,7.6227694,-7.013179,9.9672365,-1.7359642,9.00186,1702.05059343733,3121.206126493566,0.09111660700464397,0.30938497,126.44008756441461,0.108775064
How Bout Now,Drake,4n4BflhWjCHIxrI4v7Xt9s,64,-107.761246,89.61244,100.65028,43.099148,19.638062,25.222374,25.894087,21.491917,12.902702,19.634825,9.54218,15.673455,-0.081409186,16.68747,7.0155077,12.719765,-4.4648004,12.810362,0.875792,12.293988,-0.9687072,12.71073,-0.39441678,10.221676,-3.208549,9.021636,1.2390977,9.340968,-3.929782,8.537852,0.5621107,8.844688,-5.5280504,7.864962,3.162759,8.010784,-3.627689,7.396852,-0.65979487,6.7449355,1983.56460785159,4276.749139083059,0.06795763895607586,0.42891017,122.85815664808673,0.29197708
Chain Breaker,$uicideboy$,3GEGJVMKsI9OcVGMQsZ46R,73,-12.314291,51.600853,91.56855,32.599,4.098767,29.846493,2.2199674,17.482153,5.616724,14.579654,13.371691,11.711173,1.3576722,13.601259,9.454406,10.2409525,-5.7994175,9.643296,14.117714,10.290671,0.60879964,8.799983,7.0101814,8.939825,2.7654395,7.95048,4.3430266,7.2674665,5.8224063,7.588418,3.769159,7.28646,-0.070644505,7.075444,8.299539,6.8296537,0.9725187,6.4044914,5.013484,6.3672094,2579.831190748555,5521.449945880901,0.09506896405766253,0.51136756,124.74061399701799,0.3532506
