song_name,artist,spotify_id,popularity
Boyz N Da Club - Radio Edit,Shermanology,26zt79lTciS4tfncBX1qPV,63
Cherry Pie,MBP,79R7npaft0OIZJAsXuwe2N,55
Saving Up,Dom Dolla,787Y2idwCU2Rk60Prv4wpr,72
Sorry (with Madonna),"BLOND:ISH, Madonna, Eran Hersh, Darmon",5dW0cgZ9uV1W3PXtuTS5uP,61
Shaking Things Up,nimino,0FoCv0glfiTP2lmEcdreAu,61
This Rhythm (feat. RAHH),"Prospa, RAHH",4NtQwxR7o3ixPVKLyOTS66,75
NOW IT'S GONE,IN PARALLEL,5v5yF1qIhHD1ptZoN8dxv7,73
BACK TO LIFE - MashBit Remix,"Angrybaby, MashBit",3wHbYADUo6Jj2YjPPXYZKr,54
I Only Smoke When I Drink,nimino,39glDGcpBhLVMSsQhvtqHR,79
Dreamin (feat. Daya),"Dom Dolla, Daya",6oWmcKVK6atTCoWVYTdSg1,74
girl$,Dom Dolla,46N3FCKFABRjNoNBVq4osr,69
Under Control (feat. Hurts),"Calvin Harris, Alesso, Hurts",4J7CKHCF3mdL4diUsmW8lq,74
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5eTaQYBE1yrActixMAeLcZ,73
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",2bLqfJjuC5syrsgDsZfGmn,83
Kate's Not Here - Day Wave & Lawrence Rothman Remix,"Lawrence Rothman, Day Wave, girl in red",5gEni4dmBqme8fyPcyWYiK,45
Going Under,Evanescence,3UygY7qW2cvG9Llkay6i1i,78
Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",24LS4lQShWyixJ0ZrJXfJ5,77
Turn off the Lights,"Chris Lake, Alexis Roberts",7dsImih2L25fa6qjNphBI7,61
TAKE IT OFF,"FISHER, Aatig",7zp9FOU4cjFdGN1zdWTvcB,70
Swimming,Lunar Vacation,0qZngsBTYM37fevbe03IlX,42
undressed,sombr,4AajxCEwGEsmHmT4H1TwjY,92
back to friends,sombr,0FTmksd2dxiE5e3rWyJXs6,97
Beggin',"Chris Lake, Aluna",74nEGIzIefJhJ5qX7NeIAz,69
Say My Name - Remix,"Morgan Seatree, Florence + The Machine",6GOOcBV0wLoHrH5D9AWA32,82
Lost My Mind (Wake Up),"BUNT., Elley Duhé",3gCOHPzD8BICRM5xR1XBQS,63
Atmosphere,"FISHER, Kita Alexander",63HwAAXuSV2tzIUPoHOwZa,73
Never Walk Alone,"BLOND:ISH, Stevie Appleton",1bE98D49uKNetOyLiaB8tG,75
Jungle,Fred again..,2VQsgkfZQxbuNKORChoaMt,49
High and Dry,Radiohead,2a1iMaoWQ5MnvLFBDv4qkf,78
HOMETOWNHERO.,Oblé Reed,46lejCSHPYgxUOMpZcroyX,53
Talker,Wilderado,4FvFhmbMGi9VcGefyUPq4E,44
Paperplanes,BUNT.,3JWKhPP6muh6tjR8b7PDOb,58
Clouds,"BUNT., Nate Traveller",3zPco1u9i9bCjkG5pngR5t,78
MONSOON,Wesley Joseph,5MomzGhToCDuNaRFPPmcpK,37
Blood On My Nikes,"Loyle Carner, Wesley Joseph, Athian Akec",3vhLVllWWp1452obmga9Nz,48
The Bloom,Wesley Joseph,6fdzX7Qy7LN5uaJ0ukH6p5,50
The Days - NOTION Remix,"Chrystal, NOTION",2FAZskT9yRjp2Oow9szJD8,88
Run,Joji,2r8RwegunaKMYW4pDFEMKM,67
You,Asal,2KStGYIp2wAwTtcgIudg4t,47
Bartender,Asal,2ywSkFhN0wUvxKiWW0BxcK,47
sweet sweet,Travis Scott,01Ch5LzVStxCFPKkT1xg6k,62
Mental Clarity Is a Luxury I Can't Afford,$uicideboy$,0JcD5qI9SxWqdEWmRjUX9X,61
Too Much,"Drake, Sampha",5LnXWeA9tuWKI2C1H74iiJ,61
Everything In Its Right Place,Radiohead,2kRFrWaLWiKq48YYVdGcm8,74
for me?,Asal,2FH9IMdubO8636y7oCLZ7v,53
forevermore,Asal,0wIg9iML33XALuL7LbwPEF,47
Shout It Out,Asal,7kjWZHRGpgNguR9by57ux4,49
Hands On Me,Elias,5kbdIO2kYzHUfUml2uxuqv,56
options,Asal,4iPc0TpU1uwoNezZT3fGWo,50
2AM,Mellina Tey,4t60NybraR13su2uQbXgmK,34
Outside,Asal,0wB0ZIaYYGJj7W7C2OMsnj,52
at least I mean something to you,Asal,6C9xKDPYhwDovvq0vEym4j,55
Rumble,"Skrillex, Fred again.., Flowdan",74fmYjFwt9CqEFAh8ybeBD,63
leavemealone,"Fred again.., Baby Keem",1MVqeIAwhD4T44AKVkIfic,66
rock u,blaze,2zPoFw39nPZHdPrF7ZO7po,59
Miracle Maker,"Dom Dolla, Clementine Douglas",6txvQu0zUbiqG24A8XMLnK,65
Lie,Asal,7mW7RyWitnXmA7mxA0xwMk,47
In a Night,Asal,0pBLDWK554CvL2KZJsOeN1,58
Liars & Players,Asal,5Jdk6W2lxe4asVmoyjKgqr,56
no good,Asal,0Yikrv7UA3irIFlaeqIiaE,57
Headache (sped up),Asal,2anwQVRjPcy8CNo3fbgQ3d,59
End Of Line - But Better,XXKATUSJINSUX,4K17jJvxbkYfLUT0vEAjof,47
Afraid,The Neighbourhood,7brQHA2CgQpcMBiOlfiXYb,76
